ds,y
1/1/2014,9816000
2/1/2014,9999000
3/1/2014,10334000
4/1/2014,10600000
5/1/2014,10800000
6/1/2014,10900000
7/1/2014,10900000
8/1/2014,11200000
9/1/2014,11300000
10/1/2014,11500000
11/1/2014,11790244
12/1/2014,11919314
1/1/2015,12170138
2/1/2015,12189535
3/1/2015,12248555
4/1/2015,12358742
5/1/2015,12549540
6/1/2015,12627234
7/1/2015,12648637
8/1/2015,12621763
9/1/2015,11463750
10/1/2015,11442006
11/1/2015,12074718
12/1/2015,12166109
1/1/2016,12259866
2/1/2016,12161629
3/1/2016,11869623
4/1/2016,12179766
5/1/2016,12281742
6/1/2016,12333253
7/1/2016,12201179
8/1/2016,12432420
9/1/2016,12281044
10/1/2016,12189352
11/1/2016,12209605
12/1/2016,12405352
1/1/2017,12360449
2/1/2017,12383460
3/1/2017,12376741
4/1/2017,12358979
5/1/2017,12323263
6/1/2017,12293428
7/1/2017,12277389
8/1/2017,12310936
9/1/2017,12268887
10/1/2017,12227560
11/1/2017,12194344
12/1/2017,12220546
1/1/2018,12103881
2/1/2018,12215946
3/1/2018,12193802
4/1/2018,12147513
5/1/2018,12109710
6/1/2018,12064332
7/1/2018,12059138
8/1/2018,12055099
9/1/2018,12011621
10/1/2018,11984993
11/1/2018,11954943
12/1/2018,11927676
1/1/2019,11914394
2/1/2019,11884268
3/1/2019,11874143
4/1/2019,11824373
5/1/2019,11798654
6/1/2019,11744007
7/1/2019,11743500
8/1/2019,11752681
9/1/2019,11728031
10/1/2019,11697526
11/1/2019,11622664
12/1/2019,11588323
1/1/2020,11614902
2/1/2020,11590601
3/1/2020,11576877
4/1/2020,11622708
5/1/2020,11740127
6/1/2020,11847711
7/1/2020,12016056
8/1/2020,12116855
9/1/2020,12212599
10/1/2020,12298138
11/1/2020,12359049
12/1/2020,12491149
1/1/2021,12586999
2/1/2021,12643124
3/1/2021,12724578
4/1/2021,12790804
5/1/2021,12850229
6/1/2021,12913441
7/1/2021,12983442
8/1/2021,13058458
9/1/2021,13120745
10/1/2021,13173192
11/1/2021,13227010
12/1/2021,13292295
1/1/2022,13368893
2/1/2022,13411356
3/1/2022,13482237
4/1/2022,13534548
5/1/2022,13625983
6/1/2022,13688202
7/1/2022,13744043
8/1/2022,13820824
9/1/2022,13885444
10/1/2022,13939749
11/1/2022,14009516
12/1/2022,14035625
